module_id, etudiant_apogee, score, result
13, 1067, 14.4, V
2, 1074, 5.1, AC
23, 1003, 11.7, V
14, 1082, 6.5, AC
25, 1030, 3.4, NV
7, 1010, 11.5, V
26, 1013, 9.2, AC
4, 1074, 11.7, V
8, 1075, 3.5, NV
8, 1048, 10.5, V
9, 1051, 8.1, AC
9, 1075, 4.4, NV
15, 1070, 10.9, V
28, 1076, 7.2, AC
13, 1060, 11.6, V
12, 1026, 10.9, V
29, 1069, 10.7, V
20, 1030, 11.9, V
1, 1011, 3.6, NV
17, 1041, 7.4, AC
3, 1032, 4.8, NV
21, 1081, 5.1, AC
27, 1003, 12.8, V
24, 1007, 4.9, NV
17, 1068, 4.0, NV
3, 1076, 7.2, AC
19, 1049, 3.7, NV
24, 1036, 4.4, NV
26, 1002, 6.2, AC
29, 1070, 6.8, AC
8, 1021, 12.3, V
29, 1077, 8.0, AC
12, 1070, 12.5, V
9, 1014, 10.4, V
30, 1010, 5.3, AC
11, 1050, 12.7, V
7, 1084, 13.8, V
19, 1032, 9.3, AC
1, 1077, 7.0, AC
17, 1005, 8.1, AC
29, 1002, 9.7, AC
26, 1086, 4.5, NV
27, 1077, 11.5, V
1, 1046, 14.8, V
23, 1012, 12.7, V
12, 1019, 11.3, V
27, 1050, 8.1, AC
28, 1090, 12.9, V
25, 1077, 9.2, AC
18, 1048, 12.0, V
30, 1011, 7.3, AC
29, 1080, 3.2, NV
19, 1084, 8.1, AC
15, 1095, 13.7, V
8, 1042, 3.5, NV
29, 1038, 7.7, AC
14, 1063, 10.9, V
14, 1038, 8.3, AC
16, 1093, 4.2, NV
3, 1021, 4.5, NV
3, 1034, 11.7, V
16, 1023, 12.1, V
27, 1091, 6.9, AC
1, 1033, 8.5, AC
26, 1010, 6.3, AC
27, 1017, 3.8, NV
7, 1069, 9.0, AC
15, 1001, 6.3, AC
29, 1067, 11.8, V
2, 1033, 5.3, AC
14, 1027, 14.6, V
27, 1061, 14.7, V
22, 1069, 10.4, V
13, 1005, 10.9, V
22, 1044, 7.2, AC
3, 1085, 5.3, AC
29, 1032, 10.8, V
15, 1093, 11.3, V
7, 1028, 3.2, NV
16, 1065, 13.5, V
5, 1068, 8.0, AC
29, 1060, 14.0, V
14, 1087, 10.7, V
22, 1063, 7.3, AC
21, 1060, 3.8, NV
2, 1005, 9.9, AC
10, 1071, 3.1, NV
18, 1028, 6.5, AC
4, 1001, 5.6, AC
12, 1091, 7.6, AC
1, 1088, 10.9, V
9, 1009, 3.5, NV
16, 1086, 13.2, V
23, 1054, 8.8, AC
14, 1008, 10.0, V
2, 1056, 4.2, NV
3, 1035, 10.2, V
14, 1049, 8.7, AC
16, 1023, 3.0, NV
10, 1068, 10.9, V
15, 1024, 4.4, NV
29, 1022, 6.1, AC
21, 1035, 6.2, AC
5, 1033, 6.7, AC
19, 1081, 6.7, AC
19, 1038, 4.4, NV
1, 1013, 8.6, AC
22, 1093, 11.9, V
6, 1067, 11.2, V
21, 1091, 8.1, AC
2, 1036, 13.9, V
12, 1045, 4.6, NV
15, 1061, 10.7, V
14, 1011, 9.3, AC
14, 1016, 14.2, V
22, 1030, 4.3, NV
29, 1010, 5.6, AC
21, 1037, 10.0, V
30, 1087, 14.1, V
10, 1059, 5.2, AC
25, 1052, 5.3, AC
5, 1070, 4.3, NV
24, 1031, 10.2, V
16, 1006, 14.3, V
28, 1047, 12.4, V
13, 1069, 10.6, V
22, 1024, 4.3, NV
25, 1052, 10.8, V
14, 1074, 11.5, V
25, 1048, 9.4, AC
30, 1007, 15.0, V
18, 1070, 3.7, NV
10, 1014, 10.6, V
2, 1043, 7.7, AC
8, 1074, 13.7, V
21, 1038, 6.7, AC
6, 1046, 14.9, V
12, 1055, 13.3, V
21, 1035, 9.2, AC
23, 1036, 7.2, AC
25, 1013, 7.4, AC
9, 1023, 7.9, AC
6, 1069, 12.9, V
12, 1074, 9.8, AC
13, 1012, 7.7, AC
17, 1090, 8.7, AC
24, 1062, 13.3, V
8, 1029, 10.0, V
16, 1086, 5.2, AC
5, 1029, 12.5, V
28, 1061, 9.8, AC
19, 1023, 9.9, AC
28, 1021, 14.0, V
2, 1029, 8.1, AC
24, 1042, 13.0, V
30, 1053, 12.7, V
4, 1064, 3.0, NV
21, 1046, 4.7, NV
18, 1041, 5.2, AC
20, 1049, 8.0, AC
11, 1023, 13.7, V
22, 1025, 3.2, NV
13, 1028, 6.4, AC
27, 1047, 7.4, AC
16, 1007, 8.4, AC
21, 1075, 6.7, AC
22, 1019, 12.9, V
18, 1080, 4.5, NV
23, 1070, 4.0, NV
8, 1055, 6.2, AC
4, 1095, 4.6, NV
